DETLOC,Facility Name,City,State,AOR,Distance to Field Office (mi),Last Inspection Type,Last Inspection Rating - Final,Last Inspection Rating - Recommended,Last Inspection Date,Second to Last Inspection Type,Second to Last Inspection Rating,Second to Last Inspection Date
MONROMI,MONROE COUNTY DETENTION-DORM,MONROE,MI,DET,51.13,Regular,Acceptable,Acceptable,8/24/17,Regular,Acceptable,9/11/15
MONTGMO,MONTGOMERY COUNTY JAIL,MONTGOMERY CITY,MO,CHI,370.24,Regular,Acceptable,Acceptable,8/10/17,Regular,Acceptable,8/13/15
MONTGTX,JOE CORLEY DETENTION FACILITY,CONROE,TX,HOU,30.50,Regular,Meets Standard,Meets Standard,11/17/16,Regular,Meets Standard,11/19/15
MORGNMO,MORGAN COUNTY ADULT DETENTION CENTER,VERSAILLES,MO,CHI,468.72,Regular,Pending,Deficient,1/20/17,Regular,Acceptable,1/23/15
MOROWOH,MORROW COUNTY CORRECTIONAL FACILITY,MOUNT GILEAD,OH,DET,173.93,Regular,Acceptable,Acceptable,2/11/16,Regular,Acceptable,1/30/14
MUSIKCA,JAMES A. MUSICK FACILITY,IRVINE,CA,LOS,44.79,Regular,Pending,Meets Standard,10/19/17,Regular,Meets Standard,10/20/16
NATROWY,NATRONA COUNTY JAIL,CASPER,WY,DEN,293.76,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,7/1/16
NAVSOAZ,NAVAJO COUNTY SHERIFF,HOLBROOK,AZ,PHO,183.39,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,7/11/15
NOBLEMN,NOBLES COUNTY JAIL,WORTHINGTON,MN,SPM,252.31,ORSA,Acceptable,,9/21/17,ORSA,Acceptable,7/23/16
NORCOOR,NORTHERN OREGON CORRECTIONAL FACILITY,THE DALLES,OR,SEA,240.57,ORSA,Acceptable,,9/30/16,ORSA,Acceptable,9/30/15
NORFOMA,NORFOLK COUNTY JAIL,DEDHAM,MA,BOS,19.83,ORSA,Acceptable,,9/23/16,ORSA,Acceptable,9/29/15
NVSDCNV,NEVADA SOUTHERN DETENTION CENTER,PAHRUMP,NV,SLC,373.78,Regular,Meets Standard,Meets Standard,8/3/17,Regular,Meets Standard,8/4/16
NWHNVNC,NEW HANOVER COUNTY JAIL,CASTLE HAYNE,NC,ATL,425.15,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
OCIRCCA,ORANGE COUNTY INTAKE RELEASE FACILITY,SANTA ANA,CA,LOS,33.35,ORSA,Acceptable,,9/1/17,ORSA,Acceptable,9/29/16
OKMULOK,OKMULGEE COUNTY JAIL,OKMULGEE,OK,DAL,,Regular,Acceptable,Acceptable,10/13/17,N/A,,
OLDHAKY,OLDHAM COUNTY JAIL,LA GRANGE,KY,CHI,269.03,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,6/30/16
ORANGFL,ORANGE COUNTY JAIL,ORLANDO,FL,MIA,231.58,ORSA,Acceptable,,10/11/17,ORSA,Acceptable,7/29/16
ORANGNY,ORANGE COUNTY JAIL,GOSHEN,NY,NYC,71.48,Regular,Acceptable,Acceptable,4/13/17,Regular,Acceptable,3/17/16
OTROPNM,OTERO COUNTY PRISON FACILITY,CHAPARRAL,NM,ELP,20.92,Regular,Acceptable,Acceptable,2/9/17,Regular,Acceptable,11/16/12
OTRPCNM,OTERO COUNTY PROCESSING CENTER,CHAPARRAL,NM,ELP,27.88,Regular,Meets Standard,Meets Standard,3/2/17,Regular,Meets Standard,2/25/16
